WKT,
"MULTILINESTRING ((-93.287382721472781 44.964992071705275,-93.290982422750005 44.964878954993665))"
"MULTILINESTRING ((-93.290982422750005 44.964878954993665,-93.290982422750005 44.965766778254633))"
"MULTILINESTRING ((-93.286896482809098 44.960172651759997,-93.290982422750005 44.960172651759997))"
"MULTILINESTRING ((-93.290982422750005 44.960172651759997,-93.290982422750005 44.964878954993665))"
"MULTILINESTRING ((-93.288736083920341 44.966169575774686,-93.290982422750005 44.965766778254633))"
"MULTILINESTRING ((-93.290982422750005 44.965766778254633,-93.290982422750005 44.966866126980811))"
"MULTILINESTRING ((-93.290982422750005 44.966866126980811,-93.290982422750005 44.967909975567046))"
"MULTILINESTRING ((-93.290982422750005 44.966866126980811,-93.289451424690384 44.966791963863884))"
"MULTILINESTRING ((-93.290906886034207 44.96805829991326,-93.290982422750005 44.967909975567046))"
"MULTILINESTRING ((-93.290982422750005 44.967909975567046,-93.290982422750005 44.968121376241953))"
"MULTILINESTRING ((-93.290982422750005 44.968121376241953,-93.290982422750005 44.968124021250809))"
"MULTILINESTRING ((-93.290979348413543 44.968121346399222,-93.290982422750005 44.968121376241953))"
"MULTILINESTRING ((-93.290982422750005 44.968124021250809,-93.290982422750005 44.969712283527336))"
"MULTILINESTRING ((-93.290982422750005 44.968124021250809,-93.290979348413543 44.968121346399222))"
"MULTILINESTRING ((-93.290982422750005 44.969712283527336,-93.290022465347278 44.969794953655452))"
"MULTILINESTRING ((-93.290982422750005 44.969712283527336,-93.290982422750005 44.971157051250522))"
"MULTILINESTRING ((-93.290982422750005 44.971157051250522,-93.289951008197392 44.971210361598978))"
"MULTILINESTRING ((-93.290982422750005 44.971157051250522,-93.290982422750005 44.97285716733446))"
"MULTILINESTRING ((-93.290982422750005 44.97285716733446,-93.290982422750005 44.97376661093287))"
"MULTILINESTRING ((-93.28871808496838 44.97237081938021,-93.290982422750005 44.97285716733446))"
"MULTILINESTRING ((-93.290982422750005 44.97376661093287,-93.290982422750005 44.974459849715622))"
"MULTILINESTRING ((-93.290982422750005 44.97376661093287,-93.288904599915099 44.973184328402539))"
"MULTILINESTRING ((-93.290982422750005 44.974459849715622,-93.290982422750005 44.976978554729094))"
"MULTILINESTRING ((-93.290982422750005 44.974459849715622,-93.289169057529747 44.974238206753256))"
"MULTILINESTRING ((-93.289869046205254 44.977027700683458,-93.290982422750005 44.976978554729094))"
"MULTILINESTRING ((-93.290982422750005 44.976978554729094,-93.290982422750005 44.979925361907071))"
"MULTILINESTRING ((-93.290982422750005 44.979925361907071,-93.290606823299456 44.979967783570729))"
"MULTILINESTRING ((-93.290982422750005 44.979925361907071,-93.290982422750005 44.981349002326105))"
"MULTILINESTRING ((-93.290982422750005 44.981349002326105,-93.290982422750005 44.981464392004284))"
"MULTILINESTRING ((-93.290951918006414 44.981343005233725,-93.290982422750005 44.981349002326105))"
"MULTILINESTRING ((-93.290982397525397 44.981464467817602,-93.290982422750005 44.981464392004284))"
"MULTILINESTRING ((-93.290982422750005 44.981464392004284,-93.290982422750005 44.981464568339057))"
"MULTILINESTRING ((-93.290982422750005 44.981464568339057,-93.290982422750005 44.982926757230082))"
"MULTILINESTRING ((-93.290982422750005 44.981464568339057,-93.290982397525397 44.981464467817602))"
"MULTILINESTRING ((-93.290982422750005 44.982926757230082,-93.290982422750005 44.985163909654439))"
"MULTILINESTRING ((-93.290854127820964 44.982764082490597,-93.290982422750005 44.982926757230082))"
"MULTILINESTRING ((-93.290982422750005 44.982926757230082,-93.290721121549637 44.982813450951674))"
"MULTILINESTRING ((-93.28975103080387 44.985165378270658,-93.290982422750005 44.985163909654439))"
"MULTILINESTRING ((-93.290982422750005 44.985163909654439,-93.290982422750005 44.986417316560001))"
"MULTILINESTRING ((-93.290982422750005 44.986417316560001,-93.290982422750005 44.987358477830917))"
"MULTILINESTRING ((-93.290982422750005 44.986417316560001,-93.289351532056074 44.986366084011578))"
"MULTILINESTRING ((-93.290982422750005 44.987358477830917,-93.290982422750005 44.988801310238415))"
"MULTILINESTRING ((-93.290982422750005 44.987358477830917,-93.289117277611595 44.987272725941573))"
"MULTILINESTRING ((-93.289379477466838 44.98880499907515,-93.290982422750005 44.988801310238415))"
"MULTILINESTRING ((-93.290982422750005 44.988801310238415,-93.290982422750005 44.990414575891869))"
"MULTILINESTRING ((-93.290982422750005 44.990414575891869,-93.287796562265228 44.991039593415806))"
"MULTILINESTRING ((-93.290982422750005 44.990414575891869,-93.290982422750005 44.994777252039732))"
"MULTILINESTRING ((-93.290982422750005 44.994777252039732,-93.290982422750005 44.995502803240001))"
"MULTILINESTRING ((-93.290982422750005 44.995502803240001,-93.283588000949663 44.995502803240001))"
"MULTILINESTRING ((-93.287796562265228 44.991039593415806,-93.290982422750005 44.994777252039732))"
"MULTILINESTRING ((-93.290583925681617 44.982662087167007,-93.290982397525397 44.981464467817602))"
"MULTILINESTRING ((-93.290982397525397 44.981464467817602,-93.290951918006414 44.981343005233725))"
"MULTILINESTRING ((-93.290979348413543 44.968121346399222,-93.290906886034207 44.96805829991326))"
"MULTILINESTRING ((-93.290875292926842 44.968120336327544,-93.290979348413543 44.968121346399222))"
"MULTILINESTRING ((-93.290951918006414 44.981343005233725,-93.290606823299456 44.979967783570729))"
"MULTILINESTRING ((-93.288112397912073 44.980784768634862,-93.290951918006414 44.981343005233725))"
"MULTILINESTRING ((-93.290875292926842 44.968120336327544,-93.290906886034207 44.96805829991326))"
"MULTILINESTRING ((-93.290906886034207 44.96805829991326,-93.289451424690384 44.966791963863884))"
"MULTILINESTRING ((-93.290022465347278 44.969794953655452,-93.290875292926842 44.968120336327544))"
"MULTILINESTRING ((-93.288058917899306 44.968092997637889,-93.290875292926842 44.968120336327544))"
"MULTILINESTRING ((-93.290721121549637 44.982813450951674,-93.290854127820964 44.982764082490597))"
"MULTILINESTRING ((-93.290583925681617 44.982662087167007,-93.290854127820964 44.982764082490597))"
"MULTILINESTRING ((-93.290507137556531 44.982892876232377,-93.290592937134448 44.982861029665436))"
"MULTILINESTRING ((-93.290592937134448 44.982861029665436,-93.290721121549637 44.982813450951674))"
"MULTILINESTRING ((-93.290721121549637 44.982813450951674,-93.290557211999456 44.982742375958146))"
"MULTILINESTRING ((-93.290606823299456 44.979967783570729,-93.288125971088462 44.980247980674115))"
"MULTILINESTRING ((-93.290606823299456 44.979967783570729,-93.289869046205254 44.977027700683458))"
"MULTILINESTRING ((-93.290557211999456 44.982742375958146,-93.290583925681617 44.982662087167007))"
"MULTILINESTRING ((-93.288947594758952 44.982044408482601,-93.290583925681617 44.982662087167007))"
"MULTILINESTRING ((-93.290507137556531 44.982892876232377,-93.290557211999456 44.982742375958146))"
"MULTILINESTRING ((-93.290557211999456 44.982742375958146,-93.288947594758952 44.982044408482601))"
"MULTILINESTRING ((-93.288924292766239 44.983480386961332,-93.290507137556531 44.982892876232377))"
"MULTILINESTRING ((-93.28975103080387 44.985165378270658,-93.290507137556531 44.982892876232377))"
"MULTILINESTRING ((-93.290022465347278 44.969794953655452,-93.288483279579012 44.9699275060836))"
"MULTILINESTRING ((-93.289401945664622 44.971013409809736,-93.290022465347278 44.969794953655452))"
"MULTILINESTRING ((-93.289951008197392 44.971210361598978,-93.289284089759164 44.971244832369479))"
"MULTILINESTRING ((-93.289951008197392 44.971210361598978,-93.28871808496838 44.97237081938021))"
"MULTILINESTRING ((-93.289401945664622 44.971013409809736,-93.290653095367574 44.970549539821462))"
"MULTILINESTRING ((-93.290653095367574 44.970549539821462,-93.289951008197392 44.971210361598978))"
"MULTILINESTRING ((-93.28871626498821 44.977078586013633,-93.289869046205254 44.977027700683458))"
"MULTILINESTRING ((-93.289869046205254 44.977027700683458,-93.289169057529747 44.974238206753256))"
"MULTILINESTRING ((-93.28949828978466 44.985165679701538,-93.28975103080387 44.985165378270658))"
"MULTILINESTRING ((-93.289351532056074 44.986366084011578,-93.28975103080387 44.985165378270658))"
"MULTILINESTRING ((-93.289118590185012 44.985438729945763,-93.28949828978466 44.985165679701538))"
"MULTILINESTRING ((-93.288296294292763 44.984128380651612,-93.28949828978466 44.985165679701538))"
"MULTILINESTRING ((-93.289451424690384 44.966791963863884,-93.288736083920341 44.966169575774686))"
"MULTILINESTRING ((-93.289451424690384 44.966791963863884,-93.288500912643443 44.966745920085032))"
"MULTILINESTRING ((-93.288695730254275 44.971275242692997,-93.289401945664622 44.971013409809736))"
"MULTILINESTRING ((-93.289284089759164 44.971244832369479,-93.289401945664622 44.971013409809736))"
"MULTILINESTRING ((-93.287995134581251 44.990442778228903,-93.289379477466838 44.98880499907515))"
"MULTILINESTRING ((-93.289379477466838 44.98880499907515,-93.287995134581251 44.99044277822891))"
"MULTILINESTRING ((-93.288950588116805 44.98856796814642,-93.289379477466838 44.98880499907515))"
"MULTILINESTRING ((-93.289056813507145 44.987251869650713,-93.289351532056074 44.986366084011578))"
"MULTILINESTRING ((-93.289351532056074 44.986366084011578,-93.288858495850178 44.986350595848336))"
"MULTILINESTRING ((-93.289284089759164 44.971244832369479,-93.288695730254275 44.971275242692997))"
"MULTILINESTRING ((-93.288711393507825 44.972369382148457,-93.289284089759164 44.971244832369479))"
"MULTILINESTRING ((-93.289169057529747 44.974238206753256,-93.288904599915099 44.973184328402539))"
"MULTILINESTRING ((-93.289169057529747 44.974238206753256,-93.288428199649985 44.974147653601946))"
"MULTILINESTRING ((-93.288858495850178 44.986350595848336,-93.289118590185012 44.985438729945763))"
"MULTILINESTRING ((-93.289118590185012 44.985438729945763,-93.288594834082801 44.985334435917686))"
"MULTILINESTRING ((-93.289117277611595 44.987272725941573,-93.288950588116805 44.98856796814642))"
"MULTILINESTRING ((-93.289056813507145 44.987251869650713,-93.289117277611595 44.987272725941573))"
"MULTILINESTRING ((-93.288665354723463 44.988428411032864,-93.289056813507145 44.987251869650713))"
"MULTILINESTRING ((-93.288136368838479 44.986934374470657,-93.289056813507145 44.987251869650713))"
"MULTILINESTRING ((-93.288950588116805 44.98856796814642,-93.288665354723463 44.988428411032864))"
"MULTILINESTRING ((-93.288947594758952 44.982044408482601,-93.288013455800112 44.98222448736027))"
"MULTILINESTRING ((-93.288947594758952 44.982044408482601,-93.288112397912073 44.980784768634862))"
"MULTILINESTRING ((-93.288924292766239 44.983480386961332,-93.288767314862227 44.983594401704551))"
"MULTILINESTRING ((-93.288013455800112 44.98222448736027,-93.288924292766239 44.983480386961332))"
"MULTILINESTRING ((-93.288904599915099 44.973184328402539,-93.288703827446383 44.972384238911893))"
"MULTILINESTRING ((-93.288904599915099 44.973184328402539,-93.287843149683226 44.972886870930971))"
"MULTILINESTRING ((-93.288858495850178 44.986350595848336,-93.288405638805202 44.986554751815312))"
