WKT
"POINT (-6.45582526121 -94.5076667577)"
"POINT (-35.8340791824 -172.015831365)"
"POINT (49.2937923241 -15.931957827)"
"POINT (84.6896303538 53.1278690905)"
"POINT (13.4683550397 -147.196998494)"
"POINT (-5.79143598411 134.446586428)"
"POINT (81.1146284317 -12.252463108)"
"POINT (-26.0031739183 -5.68006489472)"
"POINT (33.4657636768 -94.308790878)"
"POINT (7.75975846656 -139.747183394)"
"POINT (-23.8583289052 -138.044011274)"
"POINT (-18.4236410533 -84.3811470535)"
"POINT (19.3204540657 132.895517642)"
"POINT (-3.69263004573 129.834526176)"
"POINT (-48.8861696158 -171.90182961)"
"POINT (10.7659934401 -89.5056680827)"
"POINT (28.7158658105 -49.8892871542)"
"POINT (20.8392363357 -33.4931699029)"
"POINT (-46.1760608364 -89.2095269327)"
"POINT (84.6011578065 3.50791724527)"
